split,file,source_identity,instances,near_duplicate_of_train,near_duplicate_of_valid
train,1-118-_jpg.rf.24ffdf7dedf31ff70edb774824fa6691.jpg,1-118-_jpg,0,,
train,1-118-_jpg.rf.639302fe7c4f8469288e8aee229c848c.jpg,1-118-_jpg,0,,
train,1-118-_jpg.rf.e2d8ba8afd82cee6ba77fce8f6bec4d5.jpg,1-118-_jpg,0,,
train,1-2-_jpg.rf.298e710bd3f68adcdf544de5b6d62b29.jpg,1-2-_jpg,1,,
train,1-2-_jpg.rf.764fc8e60c2920d089e2a8098223cd97.jpg,1-2-_jpg,1,,
train,1-2-_jpg.rf.7ea8290414a6e28f83ae9ccc07d2b383.jpg,1-2-_jpg,1,,
train,1-222-_jpg.rf.1f22db5d1194606b8163484bde355395.jpg,1-222-_jpg,0,,
train,1-222-_jpg.rf.70ea8399c098bfddc4026d90e2aa251d.jpg,1-222-_jpg,0,,
train,1-222-_jpg.rf.fba0d63b703bf958467c323a4fab08e8.jpg,1-222-_jpg,0,,
train,1-305-.rf.18e406746c8dd499fd0866e822c77bf0.jpg,1-305-,3,,
train,1-305-.rf.b2f2c43defe5d0aa188f38560a7fe3ff.jpg,1-305-,3,,
train,1-305-.rf.f322127db390310355a7a2df58d5c1c4.jpg,1-305-,3,,
train,1-307-_jpg.rf.747eada3ea3af8a356bb9a121f0773e7.jpg,1-307-_jpg,2,,
train,1-307-_jpg.rf.8494fb045a7c44d3c2e7f0cc3098a494.jpg,1-307-_jpg,2,,
train,1-307-_jpg.rf.a5e5c4a6c0ff6aa95c85493222921dc1.jpg,1-307-_jpg,2,,
train,1-308-_jpg.rf.71bfa427fc23880730d7fe3548e032bb.jpg,1-308-_jpg,7,,
train,1-308-_jpg.rf.73ba0fd50c2d295377f80af6c59d4c90.jpg,1-308-_jpg,7,,
train,1-308-_jpg.rf.a8a8c545db0240b3fd18259453d3335b.jpg,1-308-_jpg,7,,
train,1-309-_jpg.rf.31e002d7dbe92360d1c6407dbd909cbd.jpg,1-309-_jpg,1,,
train,1-309-_jpg.rf.4738c23c4b85f90ad4e21a9fec538d0f.jpg,1-309-_jpg,1,,
train,1-309-_jpg.rf.6adb1c02ccf7aaba3d2d20044de7092a.jpg,1-309-_jpg,1,,
train,1-312-_jpg.rf.0aa6f792c039c02fd7db95ab7cfd2dfc.jpg,1-312-_jpg,4,,
train,1-312-_jpg.rf.2549c15cde25eb5453ed1cab0b246cb8.jpg,1-312-_jpg,4,,
train,1-312-_jpg.rf.5900be6dda906e55008883e7be7d71f5.jpg,1-312-_jpg,4,,
train,1-316-_jpg.rf.56c618da0816823f781ecdd2e982a80c.jpg,1-316-_jpg,1,,
train,1-316-_jpg.rf.5917519fff9999b666a2c55ef4f09b62.jpg,1-316-_jpg,1,,
train,1-316-_jpg.rf.ef1cf278c8a665f56094f4ed4f082255.jpg,1-316-_jpg,1,,
train,1-318-_jpg.rf.0f2ae327e7e5819b6c5f96b5c91bf3dd.jpg,1-318-_jpg,1,,
train,1-318-_jpg.rf.23eca5f8750e81aa12d55f2055741d71.jpg,1-318-_jpg,1,,
train,1-318-_jpg.rf.ba65f60b7e151b88b41e3658d155d7ff.jpg,1-318-_jpg,1,,
train,1-320-_jpg.rf.48ec1400e6a8fe661f5907ba88562bb8.jpg,1-320-_jpg,6,,
train,1-320-_jpg.rf.559cfdb64546c0b4d0834fb8e949cca2.jpg,1-320-_jpg,6,,
train,1-320-_jpg.rf.d462efe7bab57fb51334ac084fd99e31.jpg,1-320-_jpg,6,,
train,1-321-_jpg.rf.0c14bad05aa060372aed0c0f7c9b00f6.jpg,1-321-_jpg,8,,
train,1-321-_jpg.rf.8696363c991ea32d93fb9edb251f606d.jpg,1-321-_jpg,8,,
train,1-321-_jpg.rf.942370b29f900f187afa8c45fba384f1.jpg,1-321-_jpg,8,,
train,1-324-_jpg.rf.0ddd048733ea9d0ffb6c38b4ab252b46.jpg,1-324-_jpg,2,,
train,1-324-_jpg.rf.5b34fa3fe2f59461a8a42f8d7d395ad8.jpg,1-324-_jpg,2,,
train,1-324-_jpg.rf.e934417479beaefce7a4654a4e5c94d6.jpg,1-324-_jpg,2,,
